Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-03-07 11:11:59,false,"Washington Running","3.26","177","00:30:02","129","152","1.9","173","198","9:12","8:09","208","204","1.01","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","02:22.60","4","0.0"
Running,2020-03-01 07:39:19,false,"Atlanta Running","3.12","222","00:27:04","152","182","3.2","175","202","8:40","6:47","90","81","1.06","0.0","0.0","0.0","0.0","0.0","27:04","0:00","0.0","0:00","No","00:48.55","4","0.0"
Running,2020-02-24 19:39:59,false,"Washington - 3.6 mi run/walk, 1mi/0.2mi","3.60","271","00:39:18","140","164","2.8","159","217","10:55","8:16","224","177","0.91","0.0","0.0","0.0","0.0","0.0","39:18","0:00","0.0","0:00","No","03:30.35","6","0.0"
Running,2020-02-21 09:18:35,false,"Orange County Running","2.01","162","00:18:36","159","175","3.0","172","193","9:16","8:13","6","6","1.01","0.0","0.0","0.0","0.0","0.0","18:36","0:00","0.0","0:00","No","00:02.55","3","0.0"
Running,2020-02-18 09:53:36,false,"Orange County Running","3.01","173","00:28:00","131","150","2.0","171","194","9:19","8:19","5","8","1.01","0.0","0.0","0.0","0.0","0.0","28:00","0:00","0.0","0:00","No","00:03.62","4","0.0"
Running,2020-02-16 08:53:06,false,"Orange County Running","2.02","160","00:18:17","160","188","3.0","170","189","9:03","8:30","7","7","1.04","0.0","0.0","0.0","0.0","0.0","18:17","0:00","0.0","0:00","No","00:10.24","3","0.0"
Treadmill Running,2020-02-05 18:17:32,false,"Treadmill Running","6.30","562","01:00:02","170","202","4.6","168","185","9:32","8:23","--","--","0.99","0.0","0.0","0.0","0.0","0.0","1:00:02","0:00","0.0","0:00","No","01:37.94","7","0.0"
Running,2020-01-27 19:57:24,false,"Washington Running","4.54","342","00:40:03","156","180","3.3","176","203","8:50","6:32","269","269","1.03","0.0","0.0","0.0","0.0","0.0","40:03","0:00","0.0","0:00","No","04:34.77","5","0.0"
Running,2020-01-25 17:23:38,false,"Washington Running","6.01","456","00:54:37","157","184","3.6","175","207","9:06","8:00","312","297","1.01","0.0","0.0","0.0","0.0","0.0","54:37","0:00","0.0","0:00","No","00:02.59","7","0.0"
Running,2020-01-24 20:06:21,false,"Washington Running","5.01","401","00:44:53","162","187","3.8","174","195","8:58","7:39","300","297","1.03","0.0","0.0","0.0","0.0","0.0","44:53","0:00","0.0","0:00","No","00:03.83","6","0.0"
Running,2020-01-22 19:59:52,false,"Washington Running","4.01","311","00:35:28","159","187","3.3","175","196","8:51","7:30","253","240","1.04","0.0","0.0","0.0","0.0","0.0","35:28","0:00","0.0","0:00","No","00:01.99","5","0.0"
Running,2020-01-20 16:04:03,false,"Washington Running","4.62","355","00:40:02","160","179","3.5","175","203","8:39","7:21","266","266","1.06","0.0","0.0","0.0","0.0","0.0","40:02","0:00","0.0","0:00","No","05:27.29","5","0.0"
Running,2020-01-18 11:10:06,false,"Washington Running","8.02","498","01:12:59","145","177","2.7","176","248","9:06","7:55","680","671","1.01","0.0","0.0","0.0","0.0","0.0","1:12:59","0:00","0.0","0:00","No","00:09.47","9","0.0"
Running,2020-01-15 19:27:42,false,"Washington Running","5.77","452","00:50:10","167","189","4.0","176","192","8:42","7:29","290","290","1.05","0.0","0.0","0.0","0.0","0.0","50:10","0:00","0.0","0:00","No","06:24.80","6","0.0"
Running,2020-01-13 19:30:12,false,"Washington Running","4.59","380","00:40:02","171","185","3.9","176","200","8:43","7:49","269","267","1.05","0.0","0.0","0.0","0.0","0.0","40:02","0:00","0.0","0:00","No","05:09.90","5","0.0"
